=== events -A (recent) ===
NAMESPACE   LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-2                    Scaled up replica set rook-ceph-exporter-hks-worker-2-7b79688968 from 0 to 1
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4   Created pod: rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-2              Scaled up replica set rook-ceph-crashcollector-hks-worker-2-559dd7dcc4 from 0 to 1
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-mgr-a                                    Scaled up replica set rook-ceph-mgr-a-6594545875 from 0 to 1
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-mgr-a-6594545875                         Created pod: rook-ceph-mgr-a-6594545875-xzlpv
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-mgr-a-6594545875-xzlpv                          Successfully assigned rook-ceph/rook-ceph-mgr-a-6594545875-xzlpv to hks-worker-2
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-2-7b79688968-v7686          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Started                   pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container started
rook-ceph   54m         Normal    Started                   pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Container started
rook-ceph   54m         Normal    Created                   pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-crashcollector-hks-worker-2-559dd7dcc4-m4dxf    Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-exporter-hks-worker-3                    Scaled up replica set rook-ceph-exporter-hks-worker-3-d8f58dfdc from 0 to 1
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-exporter-hks-worker-3-d8f58dfdc          Created pod: rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l
rook-ceph   54m         Normal    ScalingReplicaSet         deployment/rook-ceph-crashcollector-hks-worker-3              Scaled up replica set rook-ceph-crashcollector-hks-worker-3-86749766cf from 0 to 1
rook-ceph   54m         Normal    SuccessfulCreate          replicaset/rook-ceph-crashcollector-hks-worker-3-86749766cf   Created pod: rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l           Successfully assigned rook-ceph/rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l to hks-worker-3
rook-ceph   54m         Normal    Scheduled                 pod/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5    Successfully assigned rook-ceph/rook-ceph-crashcollector-hks-worker-3-86749766cf-dkxb5 to hks-worker-3
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mgr-b-ccc554489-sdsr6                           Container created
rook-ceph   54m         Normal    Pulled                    pod/rook-ceph-exporter-hks-worker-3-d8f58dfdc-9sb6l           Container image "quay.io/ceph/ceph:v19.2.3" already present on machine and can be accessed by the pod
rook-ceph   54m         Normal    Created                   pod/rook-ceph-mgr-a-6594545875-xzlpv                          Container created
